,inFocus2s,inFocus20s,intra,extra,inFocusExpTime,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,rot_pos,el,az,x,y,z,u,v,w,m1,zern_defocus_nm,zern_astig_oblique_nm,zern_astig_vertical_nm,zern_coma_vertical_nm,zern_coma_horizontal_nm,zern_trefoil_vertical_nm,zern_trefoil_oblique_nm,zern_spherical_nm,position0,position1,position2,position3,position4,m1_tip,m1_tilt,m1_piston,m1_y_pos,m1_x_pos,xcentroid,ycentroid,azShift,elShift
2021-07-09 05:52:03.489000+00:00,AT_O_20210708_000321,AT_O_20210708_000322,AT_O_20210708_000323,AT_O_20210708_000324,20,1625809989.461337,1625809994.0648336,1625810044.259852,-8.038435997798224,80.86234501738276,30.933837257071573,-3.75853044253,2.27802427663,-1.24717412846,0.350001019775,0.219999969002,5.33722076699e-07,116376.75853606578,13.867287448506785,-26.70665758886865,-100.2058606418152,-11.838851668308882,17.052068168214632,4.9711873733775285,49.15370763935724,27.03654920925102,-1.186,0.421,-21.681,0.212,-1.469,-0.0,-0.0,0.0,0.0,0.0,1745.2821559561428,2697.95011164803,0.0,0.0
2021-07-09 05:56:20.764000+00:00,AT_O_20210708_000327,AT_O_20210708_000328,AT_O_20210708_000329,AT_O_20210708_000330,20,1625810257.0877786,1625810262.0387003,1625810312.186563,-18.30068771763821,71.00491918463842,46.525614364189096,-3.7365667746,2.263325106,-1.25229794267,0.350000039861,0.219998360257,1.76234519378e-06,111707.60631007778,-83.37822610834596,25.173687273302704,-131.77546782216604,-1.8005902849906497,-17.287559949395348,-4.610656449219765,37.99806097776194,30.40529684737012,-1.166,0.426,-21.683,0.212,-1.477,2.075345894173545,0.4061243442678277,-0.0033339896481775,0.0196961550602441,0.004924038765061,1962.6823137054294,2541.1716364053937,-5.497002901900672,27.464869232205338
2021-07-09 06:01:34.751000+00:00,AT_O_20210708_000333,AT_O_20210708_000334,AT_O_20210708_000335,AT_O_20210708_000336,20,1625810552.1133337,1625810556.2746022,1625810606.4907389,-29.38630191188,60.33200354803001,44.83927995826582,-3.90779445123,2.24645685602,-1.22990871892,0.34999722544,0.220000112609,7.06703677865e-07,103257.44745507816,-49.55846374309596,3.478890873182362,-101.44481067096282,-13.19038373874285,-30.81009335077363,-20.45784070125384,43.49027141518207,35.976320389221506,-1.122,0.46,-21.683,0.21,-1.478,1.8607420000194697,0.8659898317781143,-0.0043347328110788,0.0630276961927811,0.0384075023674761,2180.943122898608,2328.9253013838616,-25.001003601381797,54.173153928486535
2021-07-09 06:05:15.935000+00:00,AT_O_20210708_000339,AT_O_20210708_000340,AT_O_20210708_000341,AT_O_20210708_000342,20,1625810768.331922,1625810772.6895895,1625810823.2176104,-40.69351515695191,49.13973993500491,42.528934417413545,-3.63481547963,2.2457038681,-1.26767559782,0.349999996275,0.219999996275,2.80462648144e-07,90574.5889801624,219.38197238418755,49.881015354201246,-86.90199745916112,-2.245660827150387,-65.31427738088401,-18.601652913974764,24.493472558161105,27.956655083890105,-1.074,0.491,-21.66,0.379,-1.299,-4.536257439640775,-42.97235528336433,0.1194027785549419,0.1102984683373671,0.0689365427108545,1764.8030148464882,2015.8634555054193,-70.56928701426914,10.232216235870627
2021-07-09 06:08:34.108000+00:00,AT_O_20210708_000345,AT_O_20210708_000346,AT_O_20210708_000347,AT_O_20210708_000348,20,1625810973.868507,1625810978.683489,1625811029.3975136,-48.29313660277095,41.54798756294636,43.0059231903727,-2.98937330874,2.26637043492,-1.38904832251,0.35000009043,0.219997954697,0.0,79677.13622496363,297.39743056900795,41.6216903796039,-78.75168456928719,8.739225166166918,-86.86975219112786,-34.71553841190991,23.841130893399725,29.00834855356148,-1.05,0.501,-21.629,0.627,-1.109,5.324340647205162,-99.11525174391984,0.2758268412953765,0.1339338544096601,0.0787846202409766,1265.0676066187077,2144.2326382182177,-56.567951160556184,-51.63839725440348
2021-07-09 06:12:07.519000+00:00,AT_O_20210708_000351,AT_O_20210708_000352,AT_O_20210708_000353,AT_O_20210708_000354,20,1625811201.9044175,1625811205.964397,1625811256.9867196,-58.03295376892664,31.78727837713885,43.870910353353416,-2.50882186592,2.33155062896,-1.4380586417,0.34999859422,0.219998975432,6.0120515348e-07,63311.83441114239,230.0108450426513,125.47018388502156,26.51953641227772,18.606150009578705,-63.43936522190961,-22.98552124383198,5.428186462101094,35.42286128799724,-1.031,0.518,-21.615,0.732,-1.053,16.01918880111476,-119.6061307329746,0.3341932888018474,0.1526452017168922,0.0955263520421842,1654.9215165799721,2226.612845937616,-46.18668608812438,-19.54441596112374
2021-07-09 06:16:06.535000+00:00,AT_O_20210708_000357,AT_O_20210708_000358,AT_O_20210708_000359,AT_O_20210708_000360,20,1625811427.1585596,1625811431.504361,1625811482.0665896,-63.40474411026312,26.4396357073565,43.48036197547772,-2.54405711782,2.39025684173,-1.42440912894,0.349999996275,0.219999996275,1.07913400027e-06,53495.03055883791,313.6993078851809,104.56766345183335,109.84327476341925,44.12654542314209,-65.58238764499436,-52.07381731505213,9.089220421382858,34.07753703777845,-1.023,0.525,-21.608,0.774,-1.036,21.76840904347388,-126.72592797681472,0.3562047947121775,0.1605236637409899,0.1024200063132696,1989.8207440217107,2227.266144784885,-54.51574343600125,10.018200771531275
2021-07-09 06:20:26.035000+00:00,AT_O_20210708_000363,AT_O_20210708_000364,AT_O_20210708_000365,AT_O_20210708_000366,20,1625811680.3682325,1625811685.187012,1625811735.872937,-55.20855559929823,34.668610592278554,46.04199171049279,-2.54334447707,2.3070906614,-1.4449162052,0.349999185845,0.220000398448,5.32380704024e-07,68562.33676879882,196.16595293102884,123.541643703905,62.16177809726969,46.62066068668117,-48.71974135730871,-29.55472550370469,6.065083959814989,34.458428306488024,-1.022,0.524,-21.62,0.719,-1.061,14.894952945012175,-117.89038218470344,0.3255238494089669,0.161508471494002,0.1014351985602574,1509.0400251231215,2257.4542034303054,-40.25950787567368,-33.280078321736504
2021-07-09 06:24:20.241000+00:00,AT_O_20210708_000369,AT_O_20210708_000370,AT_O_20210708_000371,AT_O_20210708_000372,20,1625811927.8999212,1625811932.426059,1625811982.9011495,-42.79438976763221,46.941707481524006,42.50956187337008,-3.47088290768,2.24946643999,-1.29893150297,0.350000355484,0.220000681831,1.23219942811e-06,87528.64995825196,93.17792539995456,99.58047802381384,8.254123678002237,26.22099367686777,-30.493555939091337,-24.151847260327685,34.8276438771741,37.16632220137037,-1.031,0.519,-21.658,0.421,-1.284,1.616562443136767,-51.30367476563009,0.1390829090018884,0.1526452017168922,0.0965111597951964,1797.7106060311305,2151.508224043199,-56.509022328151424,9.875231746346998
2021-07-09 06:28:01.373000+00:00,AT_O_20210708_000375,AT_O_20210708_000376,AT_O_20210708_000377,AT_O_20210708_000378,20,1625812142.7812333,1625812147.8773794,1625812198.310682,-34.57407562508597,55.16061544259719,46.95247320358089,-3.89400346619,2.24271193029,-1.22493780266,0.350000511449,0.220001148455,-1.48933537714e-06,97933.25243207144,-120.5965433618728,78.21456895062379,-64.16639318746259,6.824751615604955,-10.664784015255137,-14.934952101101263,27.86549655423547,33.38846822518184,-1.048,0.508,-21.685,0.207,-1.471,-0.7718526613938371,-0.0793493390215207,-0.0036665384346359,0.1359034699156846,0.0856782745120621,2357.2439057181527,2241.7895175816175,-38.050345215949896,70.10054834638241
