,inFocus2s,inFocus20s,intra,extra,inFocusExpTime,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,rot_pos,el,az,x,y,z,u,v,w,m1
2021-07-09 05:03:28.578000+00:00,AT_O_20210708_000249,AT_O_20210708_000250,AT_O_20210708_000251,AT_O_20210708_000252,20,1625807193.159892,1625807197.5341525,1625807248.5526776,9.839257835490143,83.73350449885908,15.949887072206097,-3.7886163123000003,2.28083431061,-1.2485389633350001,0.3499991535775,0.219998674368,8.51096174923e-07,117235.07192550358
2021-07-09 05:10:16.458000+00:00,AT_O_20210708_000255,AT_O_20210708_000256,AT_O_20210708_000257,AT_O_20210708_000258,20,1625807510.30598,1625807514.6268888,1625807565.2673502,-18.329093315091907,70.82659060129463,38.47885407929083,-3.73821657552,2.26303345655,-1.25226088643,0.350000292022,0.220000766983,-8.09397355539e-07,112119.14620911838
2021-07-09 05:14:37.651000+00:00,AT_O_20210708_000261,AT_O_20210708_000262,AT_O_20210708_000263,AT_O_20210708_000264,20,1625807741.058118,1625807745.7166455,1625807796.7567685,-28.052366747526,61.65360331201302,41.59345829294961,-3.8898557175,2.2481774732,-1.23410294416,0.35000080755,0.219999892433,1.68421251991e-07,104616.12404976643
2021-07-09 05:18:13.031000+00:00,AT_O_20210708_000267,AT_O_20210708_000268,AT_O_20210708_000269,AT_O_20210708_000270,20,1625807947.638052,1625807952.1193295,1625808002.6652415,-40.980401743813154,48.86520757060812,44.05796004552451,-3.6158472279,2.24609581015,-1.27106907902,0.35000011711,0.220002267242,1.26233616238e-06,90241.94674633791
2021-07-09 05:21:53.379000+00:00,AT_O_20210708_000273,AT_O_20210708_000274,AT_O_20210708_000275,AT_O_20210708_000276,20,1625808166.8494694,1625808171.2050097,1625808221.8124683,-47.95585693151253,41.899412595350796,43.23072211690876,-3.02114612553,2.26489351767,-1.38343438111,0.349999412445,0.219998688038,-6.4660513632e-08,80320.71366479491
2021-07-09 05:25:09.069000+00:00,AT_O_20210708_000279,AT_O_20210708_000280,AT_O_20210708_000281,AT_O_20210708_000282,20,1625808358.671096,1625808362.4041982,1625808413.2405446,-57.51952308043954,32.427780477620544,43.68043141488946,-2.50840609561,2.326474328705,-1.520448894115,0.349999380777,0.2200008877115,1.80136140324e-06,64665.315907676566
2021-07-09 05:28:35.543000+00:00,AT_O_20210708_000285,AT_O_20210708_000286,AT_O_20210708_000287,AT_O_20210708_000288,20,1625808593.3266516,1625808597.5933073,1625808647.531549,-55.442067310955025,34.40453595957719,42.59216928307927,-2.536321588145,2.3090830123500004,-1.44483148459,0.349999412938,0.219999996275,3.590642211815e-08,68264.85716406252
2021-07-09 05:32:22.799000+00:00,AT_O_20210708_000291,AT_O_20210708_000292,AT_O_20210708_000293,AT_O_20210708_000294,20,1625808794.122934,1625808798.787794,1625808849.698841,-44.15355214646928,45.72214684608494,43.55667532350401,-3.36770291368,2.25229391699,-1.31871276042,0.349999165545,0.219999996275,1.01250215016e-06,85766.35895972159
2021-07-09 05:35:37.242000+00:00,AT_O_20210708_000297,AT_O_20210708_000298,AT_O_20210708_000299,AT_O_20210708_000300,20,1625808986.0009284,1625808989.897576,1625809040.5604475,-34.31934935989043,55.55477845860821,45.01212199804528,-3.901083972805,2.242833500055,-1.280102114085,0.350000594981,0.22000023961850002,8.57798827285e-07,98375.61140926585
2021-07-09 05:40:25.115000+00:00,AT_O_20210708_000303,AT_O_20210708_000304,AT_O_20210708_000305,AT_O_20210708_000306,20,1625809281.637998,1625809285.9642498,1625809336.6090298,-22.41199294341056,67.07597724320829,44.424524929428955,-3.7917201379399996,2.25651960762,-1.248981846955,0.349999996275,0.220000022412,0.0,108939.91281762216
2021-07-09 05:44:46.804000+00:00,AT_O_20210708_000309,AT_O_20210708_000310,AT_O_20210708_000311,AT_O_20210708_000312,20,1625809535.6700563,1625809540.044324,1625809590.220347,-15.722555372854986,73.88194509584747,40.70162655238207,-3.72122123449,2.26757277096,-1.25188116626,0.350000652199,0.219999298653,-1.91982462348e-06,113443.70645560467
2021-07-09 05:48:03.170000+00:00,AT_O_20210708_000315,AT_O_20210708_000316,AT_O_20210708_000317,AT_O_20210708_000318,20,1625809748.6853964,1625809752.8637235,1625809803.040608,-15.023326473673514,74.37128678996349,38.17637393597543,-3.72010795526,2.2684517942,-1.25161656792,0.349999827774,0.21999959023,-3.12110643156e-09,113698.14414404295
