,inFocus20s,inFocusExpTime20s,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,rot_pos,el,az,x,y,z,u,v,w,m1,position0,position1,position2,position3,position5,m1_tip,m1_tilt,m1_piston,m1_y_pos,m1_x_pos,xcentroid,ycentroid,azShift,elShift,medianXx,medianYy,psf_fwhmx,psf_fwhmy,psf_fwhm_overall
2021-08-18 09:58:04.405000+00:00,AT_O_20210817_000505,15,1629280684.4042842,1629280666.77097,1629280684.4042842,0.7764778120147051,30.3656525789,39.43384962029128,-4.09493165999,2.3611612693,-1.16350897674,0.350000685823,0.220000168915,1.67713467536e-07,49891.10917019314,0.027,0.151,0.081,11.872,4.976,-0.0,-0.0,0.0,0.0,0.0,2096.5189072193784,2080.9613198553952,0.0,0.0,1.3613767327431985,1.4713769327858246,1.237621276778554,1.3218232344435494,1.277359865043258
2021-08-18 09:58:43.217000+00:00,AT_O_20210817_000506,15,1629280723.2165377,1629280705.5802495,1629280723.2165377,0.2237883044033558,35.531791830939575,39.73752585386768,-4.16947559014,2.36115078463,-1.17978492009,0.349999562018,0.219999769757,-4.31983086329e-07,60286.48324856228,0.027,0.151,0.081,11.871,4.974,0.2914284814994959,0.4155019934245116,-0.0010006714695388,0.0,0.0,2093.4621711313807,2040.0340714139381,-4.241954107697675,-0.6322278746437353,1.237861395482895,1.2354363607591634,1.162686385399705,1.1651198497737754,1.155116061419561
2021-08-18 09:59:22.361000+00:00,AT_O_20210817_000507,15,1629280762.360046,1629280744.7266688,1629280762.360046,0.2285614794219488,41.55523816119667,39.41959991157123,-4.20411230202,2.36115573255,-1.19747109267,0.349999656833,0.220001613839,-5.72987562199e-07,71495.09729885525,0.024,0.148,0.081,11.871,4.972,0.8230690529438185,0.6629276596464471,-0.0016677379869899,-0.0029544232590366,-0.0029544232590366,2056.3115840600417,2019.995849190111,-6.52304278252835,-3.9613337091956184,1.1627390892232672,1.1415710631221752,1.106265084471595,1.0607142696817384,1.0757971963423825
2021-08-18 10:00:01.160000+00:00,AT_O_20210817_000508,15,1629280801.1597033,1629280783.5259132,1629280801.1597033,0.2249295733814101,46.42449891408776,40.04508257333267,-4.1981254931,2.3611547329,-1.21092479844,0.350000539764,0.220000033447,8.73012987559e-07,79707.3364461263,0.019,0.144,0.081,11.871,4.97,1.3547096243774417,0.9103533258665848,-0.0023348045044413,-0.0078784620240976,-0.0068936542710854,2228.0246574670996,2339.9671100904034,28.42544793900118,10.649890230792689,1.2999646377792087,1.029876258425794,1.1962994782679963,0.9789231655793953,1.072275335920009
2021-08-18 10:00:40.047000+00:00,AT_O_20210817_000509,15,1629280840.0459456,1629280822.4167953,1629280840.0459456,0.2334327720083011,52.37229462306035,39.7245081307879,-4.15921380699,2.36115771114,-1.22574296527,0.350000606374,0.219999828603,-2.97953632342e-06,89241.89420233833,0.009,0.136,0.082,11.872,4.967,2.4179907671831664,1.4052046582982305,-0.002668937539344,-0.0177265395542197,-0.0147721162951831,2080.4925084156134,2012.8587276080093,-7.310730307326533,-0.07586314689303368,1.139301610873709,0.9749161560179325,1.1168256242394554,0.9760488611271017,1.0288428753053063
2021-08-18 10:01:18.939000+00:00,AT_O_20210817_000510,15,1629280878.938133,1629280861.2884512,1629280878.938133,0.2363699647240638,57.89861483713159,39.34694901529373,-4.10286256439,2.36115198711,-1.23774246479,0.350000418094,0.220000835609,-1.11842507189e-06,97498.8148243624,-0.006,0.125,0.083,11.873,4.963,3.747092195502865,2.0237688238142773,-0.0033366038329721,-0.0324986558494028,-0.0256050015783174,2102.722215263247,2004.2086488780935,-7.397632387279994,3.1664096394228567,1.092319359896672,0.9016551109523666,1.1030306759653552,0.8949226769933527,0.988129256360547
2021-08-18 10:01:57.773000+00:00,AT_O_20210817_000511,15,1629280917.7719953,1629280900.1308627,1629280917.7719953,0.249608479187979,63.8826241179308,40.0288934551063,-4.03158784617,2.36116193181,-1.24875411228,0.35000098925,0.219999200425,1.58041489463e-06,105347.0354133157,-0.033,0.106,0.083,11.873,4.958,5.076193623511621,2.6423329892938714,-0.0050042701266001,-0.0590884651807324,-0.0443163488855493,2104.471028422286,1988.7142094327214,-8.480339690496333,4.658388392857004,1.3265562149046803,0.9468518086710036,1.198923063386598,0.9691426143364493,1.0639314122549663
2021-08-18 10:02:36.661000+00:00,AT_O_20210817_000512,15,1629280956.6605313,1629280939.0255594,1629280956.6605313,0.2670772967200416,69.18763988554161,40.02784647468636,-3.96798370541,2.36115402519,-1.25676554495,0.349999203273,0.219999622818,2.917418529e-06,111098.56851663029,-0.064,0.086,0.085,11.876,4.953,7.177147711658748,3.340246493727775,-0.0050053979855914,-0.0896175055241109,-0.0640125039457935,2113.7820187755865,1979.7495499323616,-8.357201234276266,6.7287953829004055,1.601686010548268,1.3097350910054748,1.3806023836801884,1.1709153527265788,1.2711454791354266
2021-08-18 10:03:15.364000+00:00,AT_O_20210817_000513,15,1629280995.3627908,1629280977.73123,1629280995.3627908,0.2999826310705804,74.23172371017041,38.48614008093735,-3.913688279,2.361154152,-1.26278611626,0.349998671429,0.219999234104,-9.42005200086e-07,115938.30523410373,-0.099,0.073,0.087,11.879,4.949,9.012281513115086,3.914447165019396,-0.0046729925858573,-0.1240857768795382,-0.0768150047349522,2109.4844566862294,1959.0107411469833,-9.55162411330602,8.544446922065868,1.384921523846641,1.091212720550303,1.2166953959784697,1.0624537765545496,1.1343588592988625
2021-08-18 10:03:54.361000+00:00,AT_O_20210817_000514,15,1629281034.3599546,1629281016.724203,1629281034.3599546,0.3867041416413164,79.84285077292674,38.63958673424649,-3.86656686854,2.36115895831,-1.26756592901,0.350000229732,0.219999549261,1.07542366036e-06,119656.85874091256,-0.155,0.062,0.089,11.881,4.944,10.873023508849002,4.780436996416184,-0.0050077253969363,-0.1792350110482218,-0.0876478900180865,2088.8970033649416,1931.8744022474987,-12.246398825765821,9.663514551102073,1.324532448860989,1.1901592981189093,1.2778329340806303,1.1199179174329947,1.1961104785660048
