,inFocus20s,inFocusExpTime20s,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,rot_pos,el,az,x,y,z,u,v,w,m1,position0,position1,position2,position3,position5,m1_tip,m1_tilt,m1_piston,m1_y_pos,m1_x_pos,xcentroid,ycentroid,azShift,elShift,medianXx,medianYy,psf_fwhmx,psf_fwhmy,psf_fwhm_overall
2021-08-18 10:12:13.561000+00:00,AT_O_20210817_000525,15,1629281533.5600748,1629281515.9334805,1629281533.5600748,0.2281560319688116,35.95873952455997,40.32899964364889,-4.17433257318,2.3611565307,-1.18130131368,0.349999094033,0.220002761818,1.02675866298e-06,61035.66464572483,0.028,0.15,0.081,11.869,4.972,-0.0,-0.0,0.0,0.0,0.0,2071.210745361556,2020.4817362999047,0.0,0.0,1.4523005466674659,1.4030116829929924,1.2871862067679825,1.2473849419193683,1.2614964595925506
2021-08-18 10:12:52.521000+00:00,AT_O_20210817_000526,15,1629281572.520084,1629281554.8728666,1629281572.520084,0.2286385666298241,41.06488501868101,39.94769949229735,-4.20320837341,2.36116079164,-1.19617328378,0.350000044823,0.220000347147,-1.57122281321e-06,70636.73577609593,0.025,0.148,0.081,11.87,4.97,0.7718526613939376,0.0793493390223443,-0.0003334615653637,-0.0029544232590366,-0.0019696155060244,2050.5296197778216,1999.7689363059178,-2.206213343642704,-2.1185650734599895,1.3931850889175605,1.2521397036667956,1.2648950067047826,1.1382066201134582,1.1899701347436435
2021-08-18 10:13:31.559000+00:00,AT_O_20210817_000527,15,1629281611.5587626,1629281593.933457,1629281611.5587626,0.2316112036573673,46.82948592497354,39.485007708394896,-4.19666816013,2.3611534664,-1.21186556037,0.349998008477,0.219999413215,1.19483645162e-06,80438.74977145724,0.019,0.143,0.082,11.871,4.968,1.5693135185403286,0.4504878383569246,-0.0003340613415401,-0.0088632697771098,-0.0068936542710854,2066.794322750391,2013.7231550659583,-0.7594748555960096,-0.3674437120708747,1.531262943964008,1.3504349015525907,1.3310285048831039,1.2213122183281755,1.264516867939826
2021-08-18 10:14:10.219000+00:00,AT_O_20210817_000528,15,1629281650.218042,1629281632.577741,1629281650.218042,0.2312247420435168,52.16713364176052,39.19312951302324,-4.16114537613,2.36116110561,-1.22522423505,0.35000110756,0.219999819784,-8.82327491603e-07,88912.48350219727,0.01,0.136,0.082,11.872,4.966,2.3411661798673764,0.5298371773787139,-0.0006675229069035,-0.0177265395542197,-0.0137873085421708,2080.5618364249653,1997.3506100805407,-2.1361087305764026,1.494926991048968,1.2959258969677543,1.0630024624462475,1.2633584399263627,1.0167387867962787,1.1280104859053992
2021-08-18 10:14:49.396000+00:00,AT_O_20210817_000529,15,1629281689.395581,1629281671.7653058,1629281689.395581,0.2400487509795413,58.22823132912728,39.297724494575554,-4.0999704887,2.36116095998,-1.2382510736,0.350000671407,0.220000128988,-4.37506567319e-07,97804.00071139864,-0.008,0.123,0.083,11.872,4.962,3.4300555183243038,1.316477670122778,-0.0016687941526196,-0.0354530791084394,-0.0265898093313296,2085.564244879672,1996.9077739150903,-1.8436238499067783,2.2180176570424215,1.3457148366159726,1.0669520340392433,1.1734698304764342,1.0570662179603592,1.1119503722120676
2021-08-18 10:15:28.068000+00:00,AT_O_20210817_000530,15,1629281728.0667408,1629281710.430555,1629281728.0667408,0.2535765963265375,63.57639390567702,38.97892989639271,-4.03531419878,2.36115728025,-1.24824159114,0.349998820451,0.220000294876,-1.25194208403e-07,104791.64564480251,-0.034,0.106,0.084,11.873,4.957,5.024977231991886,2.058754668743417,-0.0026699937049734,-0.0610580806867568,-0.0433315411325371,2131.57842451841,1972.909460588185,-1.8943583927556462,7.805219536375138,1.244646065954976,1.02588070585293,1.1907926882006656,1.0055084796892704,1.0921598619927448
2021-08-18 10:16:07.355000+00:00,AT_O_20210817_000531,15,1629281767.3547556,1629281749.7230206,1629281767.3547556,0.2670705787814869,69.3455822104184,40.58716886166965,-3.96612261537,2.36115549588,-1.25698203463,0.349998583337,0.219999927276,8.76153992646e-07,111282.6028333876,-0.066,0.085,0.085,11.876,4.952,7.100323124424991,2.4648790129624483,-0.0030039833531512,-0.0925719287831475,-0.0640125039457935,2109.1337003662557,1973.1766534097067,-2.427001307507962,5.852490507632156,1.4027267992662311,1.150800248214661,1.3152501554644953,1.0783852732669672,1.1871557060085725
2021-08-18 10:16:45.871000+00:00,AT_O_20210817_000532,15,1629281805.8696508,1629281788.222879,1629281805.8696508,0.3021515630114461,74.63781208633252,40.31779396458701,-3.90976828519,2.36115479415,-1.26319604087,0.350000155473,0.220001174436,2.41300184848e-06,116201.16817914178,-0.103,0.071,0.088,11.879,4.948,8.96106512166163,3.330868844573061,-0.0023387161642303,-0.1290098156445992,-0.0777998124879644,2128.135151611001,1954.3318333046145,-2.355271284602192,8.810418834222396,1.683320422349114,1.4185044239308369,1.4328743688979422,1.2340729029676785,1.3286298014173916
2021-08-18 10:17:24.904000+00:00,AT_O_20210817_000533,15,1629281844.9036217,1629281827.271072,1629281844.9036217,0.3931098155622344,79.86538112997044,38.986645717660494,-3.86641104158,2.36115838414,-1.26758005013,0.349999996081,0.220000751501,8.90086089346e-07,119769.62136086856,-0.156,0.061,0.089,11.881,4.943,10.796198921735195,3.905069515865552,-0.0030063107644961,-0.1812046265542462,-0.0876478900180865,2121.7938871652873,1926.9019265609159,-3.9344985082807415,10.39670471475412,1.4565505885314136,1.369537411448668,,,
2021-08-18 10:18:43.467000+00:00,AT_O_20210817_000534,15,1629281923.4666076,1629281905.8189192,1629281923.4666076,0.3505384522116704,80.03766716359921,37.597161262474806,-3.86540419214,2.36115850261,-1.2676800698,0.350000322946,0.220000050173,1.71076380317e-06,119791.40512695312,-0.157,0.061,0.089,11.881,4.943,10.796198921735195,3.905069515865552,-0.0030063107644961,-0.1821894343072584,-0.0876478900180865,2155.408308626194,1920.0326416088578,-1.8089689202515242,13.576794148800694,1.4143588437992614,1.2473095048380785,,,
2021-08-18 10:19:28.521000+00:00,AT_O_20210817_000535,15,1629281968.5204172,1629281950.8780432,1629281968.5204172,0.321721691077073,69.04328511309723,39.83896361154257,-3.96941355752,2.36115483925,-1.25659758299,0.350001189407,0.219999528731,6.78969839535e-07,110975.9866990831,-0.112,0.067,0.087,11.881,4.955,7.55513910797349,1.8369371983146932,0.0003303647618381,-0.1378730854217091,-0.0817390435000132,2083.2616047126608,1958.3915693545382,-5.049196630752189,4.265104100729381,1.2345527963162224,1.1572539551516121,1.1680127989225828,1.098905624161005,1.13058045333288
2021-08-18 10:20:13.522000+00:00,AT_O_20210817_000536,15,1629282013.5214136,1629281995.8739393,1629282013.5214136,0.2816838402222856,57.87163266194512,39.47422640819877,-4.1030805009,2.36115310391,-1.23770384999,0.350000731014,0.220000253392,-8.72490336903e-07,97492.47497829862,-0.058,0.097,0.086,11.88,4.963,5.162756538755732,0.7235217003536207,0.0023321640903688,-0.0846934667590499,-0.052194810909647,2056.8011666152556,1977.044106636456,-4.782473444980499,0.003769376890535074,1.5878969937512541,1.4068917853214067,1.3729516072873478,1.247372689053808,1.3085552058600614
2021-08-18 10:20:52.363000+00:00,AT_O_20210817_000537,15,1629282052.3622832,1629282034.733588,1629282052.3622832,0.2367255188461664,52.08117525617612,39.32070156359664,-4.16173708508,2.36115575399,-1.22506113992,0.349999772752,0.220000218904,-2.56942012191e-07,88837.55367296007,-0.035,0.112,0.085,11.878,4.966,3.8592633065372817,0.3967466951103451,0.0023326921731832,-0.0620428884397691,-0.0374226946144638,2051.3242403840054,1977.997119645251,-4.789002603593574,-1.046204552547521,1.4180989453771176,1.3116717798711135,1.3089834336294102,1.211262612598895,1.2574680696876896
