,intra,extra,inFocus5s,inFocusExpTime5s,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,filter,rot_pos,el,az,x,y,z,u,v,w,m1,position0,position1,position2,position3,position5,m1_tip,m1_tilt,m1_piston,m1_y_pos,m1_x_pos
2022-02-09 01:02:14.671000+00:00,AT_O_20220208_000145,AT_O_20220208_000146,AT_O_20220208_000147,5.0,1644368649.7083807,1644368548.9709506,1644368599.1322887,SDSSg,10.638593142392349,73.30813987095259,80.22051863494765,-3.735842275,1.85593496297,-1.18277273088,0.350000066974,0.220000141112,-1.06744203339e-06,114796.61777856453,-0.01,-0.054,-0.0031,0.025,0.929,-0.0,-0.0,0.0,0.0,0.0
2022-02-09 03:47:59.978000+00:00,AT_O_20220208_000332,AT_O_20220208_000333,AT_O_20220208_000334,5.0,1644378595.36605,1644378494.2857945,1644378545.3656592,SDSSg,-131.13449027336787,44.94139128414784,-4.430699848999068,-4.09415058102,2.24577545718,-1.09796620614,0.350001158905,0.219999848807,1.83989677381e-08,77264.08904550588,0.103,0.057,-0.0027,0.01,0.943,-7.314422067997866,0.9058809085764078,-0.00020146394348467952,0.1112832760903795,0.10931366058435509
2022-02-09 03:53:41.229000+00:00,AT_O_20220208_000337,AT_O_20220208_000338,AT_O_20220208_000339,5.0,1644378937.3564377,1644378835.5321338,1644378886.1921425,SDSSg,-139.64412639149342,39.764302904294766,-0.6811964871697401,-3.97850052725,2.28150578939,-1.084190150445,0.349999690672,0.220000014724,-1.04617187351e-06,68111.64797650506,0.104,0.059,-0.00275,0.01,0.941,-6.784061906957815,1.1387171167786798,-0.0008851735503952215,0.11226808384339171,0.1112832760903795
2022-02-09 03:59:29.590000+00:00,AT_O_20220208_000341,AT_O_20220208_000342,AT_O_20220208_000343,5.0,1644379286.1052363,1644379183.899462,1644379234.1473873,SDSSg,-143.51738731115492,35.365080356774804,-1.2118420364673583,-3.88267371898,2.33357369935,-1.0745716658,0.350001118849,0.220001334286,-2.64130830841e-07,59706.92147607423,0.106,0.061,-0.0027,0.008,0.941,-7.263205676511143,1.4894592291830488,-0.0015357403651115962,0.11423769934941612,0.1132528915964039
2022-02-09 04:05:52.094000+00:00,AT_O_20220208_000347,AT_O_20220208_000348,AT_O_20220208_000349,5.0,1644379665.1989872,1644379566.407524,1644379616.416761,SDSSg,-149.33098091402206,29.901443649746945,-0.7996573264553445,-3.98339454143,2.12770193773,-1.08038859783,0.349999848007,0.220000343838,9.32601371516e-07,48696.00995556641,0.11,0.065,-0.00265,0.006,0.942,-8.008169731322832,1.7164885084761616,-0.001852773921102363,0.11817693036146495,0.11719212260845274
2022-02-09 04:11:19.983000+00:00,AT_O_20220208_000353,AT_O_20220208_000354,AT_O_20220208_000355,5.0,1644379993.2000687,1644379894.288027,1644379944.2306912,SDSSg,-153.77112804570382,24.958617423393008,-1.2302278782095528,-3.94769278046,2.18301659114,-1.06733332927,0.349999715478,0.219999458622,1.55672291756e-06,37149.34898706055,0.113,0.068,-0.00255,0.003,0.945,-9.523706036020899,1.8787579067641709,-0.0018197028222704393,0.12113135362050158,0.12014654586748938
2022-02-09 04:16:59.733000+00:00,AT_O_20220208_000359,AT_O_20220208_000360,AT_O_20220208_000361,5.0,1644380333.841427,1644380234.0368254,1644380284.7040985,SDSSg,-159.91604971654334,19.4356818332462,-0.5914012665703194,-3.76040955835,2.24882485797,-1.06213425713,0.349998545694,0.219999622948,3.16526741247e-07,23018.33132226562,0.115,0.071,-0.00245,0.0,0.948,-11.039242339690675,2.041027305049855,-0.0017866317234385169,0.123100969126526,0.123100969126526
2022-02-10 00:35:26.876000+00:00,AT_O_20220209_000111,AT_O_20220209_000112,AT_O_20220209_000113,5.0,1644453442.857735,1644453341.18197,1644453392.136835,SDSSg,8.98172059134231,63.81397670348473,52.82259139926778,-3.86792556751,2.27188691162,-1.1548943651,0.350000041028,0.22000105908,6.8879160854e-07,104703.42414263556,0.024,-0.037,-0.00325,0.019,0.934,-2.7742151975140517,0.34612542360252874,-0.0003838926872770504,0.033483463602415074,0.016741731801207537
2022-02-10 02:12:10.681000+00:00,AT_O_20220209_000247,AT_O_20220209_000248,AT_O_20220209_000249,5.0,1644459245.4566584,1644459144.985929,1644459195.2938192,SDSSg,-12.4545959867473,54.07861206670932,-121.45837237394676,-3.77202074089,2.22651489508,-1.11850081158,0.34999929247,0.219999921423,0.0,91612.31396215822,0.049,0.014,-0.003,0.018,0.937,-3.805486095427497,0.21601054154709828,0.00036631758410855564,0.05810365742772028,0.06696692720483015
2022-02-10 02:23:15.329000+00:00,AT_O_20220209_000251,AT_O_20220209_000252,AT_O_20220209_000253,5.0,1644459912.153155,1644459809.6171913,1644459859.926212,SDSSg,0.6792284004436806,60.76969940205687,99.48546858550952,-3.85365237312,2.16156124522,-1.14024900259,0.349999649069,0.2199996454,4.9809996796e-07,100715.30340671912,0.042,0.013,-0.00295,0.018,0.938,-4.0700259712665305,0.1068871664510076,0.0007164939322934523,0.05121000315663482,0.06598211945181794
2022-02-10 02:29:19.993000+00:00,AT_O_20220209_000254,AT_O_20220209_000255,AT_O_20220209_000256,5.0,1644460280.547419,1644460174.297559,1644460225.5417347,SDSSi,1.5280879867895434,62.06924273353127,99.11249293104744,-3.84262661248,2.16155225047,-1.14720851987,0.350000264793,0.22,5.04108857254e-07,102263.18851270487,0.035,0.011,-0.003,0.019,0.937,-3.5652740055552687,0.047934214345665326,0.0006999225361964067,0.04431634888554937,0.06401250394579353
2022-02-10 02:34:20.548000+00:00,AT_O_20220209_000257,AT_O_20220209_000258,AT_O_20220209_000259,5.0,1644460576.714774,1644460474.8463063,1644460525.9839694,SDSSr,2.228120451884024,63.13910921675835,98.80899530896345,-3.84900464886,2.25790487235,-1.14441726749,0.350000397927,0.220000531673,-1.37421726482e-06,103788.8772812787,0.03,0.009,-0.003,0.019,0.937,-3.5652740055552687,0.047934214345665326,0.0006999225361964067,0.03939231012048832,0.06204288843976911
2022-02-10 02:38:37.396000+00:00,AT_O_20220209_000260,AT_O_20220209_000261,AT_O_20220209_000262,5.0,1644460838.5472715,1644460731.6996324,1644460782.5075805,empty_1,2.830220119965459,64.05552461409117,98.549598087091,-3.8403912415,2.25790360244,-1.1305481576,0.35,0.220001230242,-1.94741194558e-07,104769.0229836857,0.025,0.006,-0.00305,0.019,0.936,-3.3007341296930752,0.15705758944181003,0.00034974618801147223,0.03446827135542729,0.05908846518073248
2022-02-10 02:54:17.460000+00:00,AT_O_20220209_000265,AT_O_20220209_000266,AT_O_20220209_000267,5.0,1644461774.4210303,1644461671.7639182,1644461722.4332235,SDSSg,5.009940832902965,67.4130135302922,97.64599855312667,-3.81348564045,2.13376257165,-1.1544970409,0.350000263118,0.220000386008,1.09227660886e-06,108753.38932052311,0.005,-0.003,-0.00305,0.021,0.934,-2.2886693785344607,0.06833060126249949,0.00034988957473595987,0.01477211629518312,0.05022519540362261
2022-02-10 03:09:38.636000+00:00,AT_O_20220209_000273,AT_O_20220209_000274,AT_O_20220209_000275,5.0,1644462694.262622,1644462592.939096,1644462643.3036823,SDSSg,7.132531926962067,70.71666802218733,96.81066170315728,-3.61941269974,1.996399482625,-1.16117359708,0.35000070975,0.220000034535,-2.469991701165e-07,111936.11719116208,-0.016,-0.013,-0.00315,0.022,0.933,-1.785197822488126,-0.00521180885850181,0.0003166750891795484,-0.005908846518073248,0.04037711787350053
2022-02-10 03:24:30.207000+00:00,AT_O_20220209_000280,AT_O_20220209_000281,AT_O_20220209_000282,5.0,1644463579.650138,1644463484.5146828,1644463535.7873309,SDSSg,9.127033888466208,73.91249935957974,96.07823359596632,-3.8072505013,2.10650458045,-1.16797007455,0.350000181674,0.219999834371,2.46622478945e-07,114970.39491624104,-0.041,-0.024,-0.0032,0.024,0.931,-0.7744134809713917,-0.10852825505349788,0.0003001753864447089,-0.030529040343378448,0.02954423259036624
2022-02-10 03:33:34.781000+00:00,AT_O_20220209_000287,AT_O_20220209_000288,AT_O_20220209_000289,5.0,1644464121.9242094,1644464029.0763457,1644464080.0181377,SDSSg,10.31307515061538,75.87206462391495,95.677627316102,-3.60428278862,2.27697828858,-1.16950968481,0.349999373764,0.219999652046,-3.50650258045e-07,116685.65068885956,-0.058,-0.029,-0.0032,0.025,0.93,-0.26838110530166037,-0.1528917491431491,0.0003002470798069527,-0.047270772144585985,0.024620193825305198
