,intra,extra,inFocus5s,inFocusExpTime5s,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,filter,rot_pos,el,az,x,y,z,u,v,w,m1
2022-02-09 01:02:14.671000+00:00,AT_O_20220208_000145,AT_O_20220208_000146,AT_O_20220208_000147,5.0,1644368649.7083807,1644368548.9709506,1644368599.1322887,SDSSg,10.638593142392347,73.30813987095259,80.22051863494765,-3.735842275,1.85593496297,-1.18277273088,0.350000066974,0.220000141112,-1.06744203339e-06,114796.61777856451
2022-02-09 03:47:59.978000+00:00,AT_O_20220208_000332,AT_O_20220208_000333,AT_O_20220208_000334,5.0,1644378595.36605,1644378494.2857943,1644378545.3656592,SDSSg,-131.13449027336787,44.94139128414784,-4.430699848999068,-4.09415058102,2.24577545718,-1.09796620614,0.350001158905,0.219999848807,1.83989677381e-08,77264.08904550588
2022-02-09 03:53:41.229000+00:00,AT_O_20220208_000337,AT_O_20220208_000338,AT_O_20220208_000339,5.0,1644378937.3564377,1644378835.5321338,1644378886.1921425,SDSSg,-139.64412639149342,39.764302904294766,-0.6811964871697401,-3.97850052725,2.28150578939,-1.084190150445,0.349999690672,0.220000014724,-1.04617187351e-06,68111.64797650506
2022-02-09 03:59:29.590000+00:00,AT_O_20220208_000341,AT_O_20220208_000342,AT_O_20220208_000343,5.0,1644379286.1052365,1644379183.899462,1644379234.1473873,SDSSg,-143.51738731115492,35.365080356774804,-1.2118420364673583,-3.88267371898,2.33357369935,-1.0745716658,0.350001118849,0.220001334286,-2.64130830841e-07,59706.92147607423
2022-02-09 04:05:52.094000+00:00,AT_O_20220208_000347,AT_O_20220208_000348,AT_O_20220208_000349,5.0,1644379665.1989872,1644379566.4075239,1644379616.416761,SDSSg,-149.33098091402206,29.901443649746945,-0.7996573264553445,-3.98339454143,2.12770193773,-1.08038859783,0.349999848007,0.220000343838,9.32601371516e-07,48696.00995556641
2022-02-09 04:11:19.983000+00:00,AT_O_20220208_000353,AT_O_20220208_000354,AT_O_20220208_000355,5.0,1644379993.2000687,1644379894.288027,1644379944.2306912,SDSSg,-153.77112804570382,24.958617423393008,-1.2302278782095528,-3.94769278046,2.18301659114,-1.06733332927,0.349999715478,0.219999458622,1.55672291756e-06,37149.34898706055
2022-02-09 04:16:59.733000+00:00,AT_O_20220208_000359,AT_O_20220208_000360,AT_O_20220208_000361,5.0,1644380333.841427,1644380234.0368254,1644380284.7040985,SDSSg,-159.91604971654334,19.4356818332462,-0.5914012665703194,-3.76040955835,2.24882485797,-1.06213425713,0.349998545694,0.219999622948,3.16526741247e-07,23018.33132226562
2022-02-10 00:35:26.876000+00:00,AT_O_20220209_000111,AT_O_20220209_000112,AT_O_20220209_000113,5.0,1644453442.857735,1644453341.18197,1644453392.136835,SDSSg,8.98172059134231,63.81397670348473,52.82259139926778,-3.86792556751,2.27188691162,-1.1548943651,0.350000041028,0.22000105908,6.8879160854e-07,104703.42414263556
2022-02-10 02:12:10.681000+00:00,AT_O_20220209_000247,AT_O_20220209_000248,AT_O_20220209_000249,5.0,1644459245.4566584,1644459144.985929,1644459195.2938192,SDSSg,-12.4545959867473,54.07861206670932,-121.45837237394677,-3.77202074089,2.22651489508,-1.11850081158,0.34999929247,0.219999921423,0.0,91612.31396215822
2022-02-10 02:23:15.329000+00:00,AT_O_20220209_000251,AT_O_20220209_000252,AT_O_20220209_000253,5.0,1644459912.153155,1644459809.6171913,1644459859.926212,SDSSg,0.6792284004436806,60.769699402056865,99.48546858550952,-3.85365237312,2.16156124522,-1.14024900259,0.349999649069,0.2199996454,4.9809996796e-07,100715.30340671913
